birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"May 17, 1984 (31)",Igor Denisov,Dinamo Moscow,Igor Denisov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_15650_121_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/121.png?lm=1407045453,7, ,Igor Denisov,Defensive Midfield,7,£4.50m
"Sep 17, 1988 (27)",Pavel Mamaev,FK Krasnodar,Pavel Mamaev,http://akacdn.transfermarkt.de/images/portrait/medium/38802-1448612148.jpg?lm=1448612165,http://akacdn.transfermarkt.de/images/wappen/normal/16704.png?lm=1428770436,5, ,Pavel Mamaev,Central Midfield,5,£6.75m
"Jan 27, 1987 (29)",Denis Glushakov,Spartak Moscow,Denis Glushakov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_55336_932_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/232.png?lm=1443701948,8, ,Denis Glushakov,Central Midfield,8,£3.75m
"Sep 1, 1989 (26)",Artur Yusupov,Zenit St. Petersburg,Artur Yusupov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_97541_121_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/964.png?lm=1409224420,14, ,Artur Yusupov,Central Midfield,14,£3.75m
"Jul 6, 1981 (34)",Roman Shirokov,CSKA Moscow,Roman Shirokov,http://akacdn.transfermarkt.de/images/portrait/medium/48550-1455121896.jpg?lm=1455121933,http://akacdn.transfermarkt.de/images/wappen/normal/2410.png?lm=1409222667,15, ,Roman Shirokov,Central Midfield,15,£1.50m
"Jul 19, 1984 (31)",Aleksandr Samedov,Lokomotiv Moscow,Aleksandr Samedov,http://akacdn.transfermarkt.de/images/portrait/medium/15076-1444987725.jpg?lm=1444987725,http://akacdn.transfermarkt.de/images/wappen/normal/932.png?lm=1419709532,19, ,Aleksandr Samedov,Right Midfield,19,£3.75m
"Jan 22, 1987 (29)",Dmitri Kombarov,Spartak Moscow,Dmitri Kombarov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_38782_3448_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/232.png?lm=1443701948,23, ,Dmitri Kombarov,Left Midfield,23,£5.25m
"Aug 20, 1983 (32)",Yuri Zhirkov,Zenit St. Petersburg,Yuri Zhirkov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_16760_121_2013_10_02_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/964.png?lm=1409224420,18, ,Yuri Zhirkov,Left Midfield,18,£2.25m
"Jun 17, 1990 (25)",Alan Dzagoev,CSKA Moscow,Alan Dzagoev,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_69683_2410_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2410.png?lm=1409222667,10, ,Alan Dzagoev,Attacking Midfield,10,£12.00m
"Feb 18, 1989 (27)",Aleksey Ionov,Dinamo Moscow,Aleksey Ionov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_55356_121_2014_03_04_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/121.png?lm=1407045453,21, ,Aleksey Ionov,Right Wing,21,£3.75m
"Jan 20, 1987 (29)",Vladislav Ignatjev,Lokomotiv Moscow,Vladislav Ignatjev,http://akacdn.transfermarkt.de/images/portrait/medium/51897-1455121504.jpg?lm=1455121419,http://akacdn.transfermarkt.de/images/wappen/normal/932.png?lm=1419709532,17, ,Vladislav Ignatjev,Right Wing,17,£3.00m
"Dec 26, 1990 (25)",Denis Cheryshev,Valencia CF,Denis Cheryshev,http://akacdn.transfermarkt.de/images/portrait/medium/98322-1448900687.jpg?lm=1448900700,http://akacdn.transfermarkt.de/images/wappen/normal/1049.png?lm=1406966320,11, ,Denis Cheryshev,Left Wing,11,£7.50m
"Aug 22, 1988 (27)",Artem Dzyuba,Zenit St. Petersburg,Artem Dzyuba,http://akacdn.transfermarkt.de/images/portrait/medium/48067-1415354568.jpg?lm=1433144653,http://akacdn.transfermarkt.de/images/wappen/normal/964.png?lm=1409224420,22, ,Artem Dzyuba,Centre Forward,22,£6.75m
"Feb 9, 1990 (26)",Fedor Smolov,FK Krasnodar,Fedor Smolov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_50355_2700_2013_06_10_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/16704.png?lm=1428770436,9, ,Fedor Smolov,Centre Forward,9,£3.75m
