birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Aug 8, 1989 (26)",Taras Stepanenko,Shakhtar Donetsk,Taras Stepanenko,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_59970_660_2013_10_23_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/660.png?lm=1396275305,6, ,Taras Stepanenko,Defensive Midfield,6,£6.00m
"Mar 30, 1979 (36)",Anatoliy Tymoshchuk,Kairat Almaty,Anatoliy Tymoshchuk,http://akacdn.transfermarkt.de/images/portrait/medium/14944-1430390566.jpg?lm=1433143675,http://akacdn.transfermarkt.de/images/wappen/normal/10482.png?lm=1409145950,4, ,Anatoliy Tymoshchuk,Defensive Midfield,4,£150k
"Apr 19, 1990 (25)",Denys Garmash,Dynamo Kyiv,Denys Garmash,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_70754_338_2011_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/338.png?lm=1442954715,19, ,Denys Garmash,Central Midfield,19,£3.75m
"May 2, 1991 (24)",Sergiy Sydorchuk,Dynamo Kyiv,Sergiy Sydorchuk,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_124182_12518_2009_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/338.png?lm=1442954715,16, ,Sergiy Sydorchuk,Central Midfield,16,£3.00m
"Apr 1, 1990 (25)",Sergiy Rybalka,Dynamo Kyiv,Sergiy Rybalka,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_81649_21218_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/338.png?lm=1442954715,18, ,Sergiy Rybalka,Central Midfield,18,£3.00m
"Oct 29, 1981 (34)",Ruslan Rotan,Dnipro Dnipropetrovsk,Ruslan Rotan,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_24049_339_2014_01_06_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/339.png?lm=1411058621,14, ,Ruslan Rotan,Central Midfield,14,£1.13m
"Jun 2, 1992 (23)",Oleksandr Karavaev,Zorya Lugansk,Oleksandr Karavaev,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/10690.png?lm=1403306818,14, ,Oleksandr Karavaev,Right Midfield,14,£1.50m
"Mar 13, 1994 (21)",Ivan Petryak,Zorya Lugansk,Ivan Petryak,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_203074_12372_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/10690.png?lm=1403306818,8, ,Ivan Petryak,Left Midfield,8,£750k
"May 4, 1993 (22)",Ruslan Malinovsky,KRC Genk,Ruslan Malinovsky,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_207877_14300_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1184.png?lm=1448474405,8, ,Ruslan Malinovsky,Attacking Midfield,8,£1.35m
"Sep 29, 1989 (26)",Evgen Konoplyanka,Sevilla FC,Evgen Konoplyanka,http://akacdn.transfermarkt.de/images/portrait/medium/58949-1447240162.jpg?lm=1447240194,http://akacdn.transfermarkt.de/images/wappen/normal/368.png?lm=1408655455,10, ,Evgen Konoplyanka,Left Wing,10,£18.75m
"Apr 25, 1983 (32)",Oleg Gusev,Dynamo Kyiv,Oleg Gusev,http://akacdn.transfermarkt.de/images/portrait/medium/9794-1419868454.jpg?lm=1433145106,http://akacdn.transfermarkt.de/images/wappen/normal/338.png?lm=1442954715,9, ,Oleg Gusev,Right Wing,9,£1.50m
"Oct 23, 1989 (26)",Andriy Yarmolenko,Dynamo Kyiv,Andriy Yarmolenko,http://akacdn.transfermarkt.de/images/portrait/medium/69015-1417016531.jpg?lm=1433144890,http://akacdn.transfermarkt.de/images/wappen/normal/338.png?lm=1442954715,7, ,Andriy Yarmolenko,Right Wing,7,£18.75m
"Jul 20, 1985 (30)",Evgen Seleznev,Dnipro Dnipropetrovsk,Evgen Seleznev,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_59908_660_2011_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/339.png?lm=1411058621,11, ,Evgen Seleznev,Centre Forward,11,£3.38m
"Jun 3, 1989 (26)",Artem Kravets,VfB Stuttgart,Artem Kravets,http://akacdn.transfermarkt.de/images/portrait/medium/58405-1451903024.jpg?lm=1451903041,http://akacdn.transfermarkt.de/images/wappen/normal/79.png?lm=1422202309,22, ,Artem Kravets,Centre Forward,22,£3.00m
"Aug 24, 1987 (28)",Oleksandr Gladky,Shakhtar Donetsk,Oleksandr Gladky,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_53270_339_2010_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/660.png?lm=1396275305,21, ,Oleksandr Gladky,Centre Forward,21,£2.63m
"Mar 10, 1992 (23)",Pylyp Budkivsky,Zorya Lugansk,Pylyp Budkivsky,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_99863_16274_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/10690.png?lm=1403306818,15, ,Pylyp Budkivsky,Centre Forward,15,£1.50m
